+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
|                    clk_i |                    clk_i |                                                           core_i/id_stage_i/mult_operand_c_ex_o_reg[13]/D|
|                    clk_i |                    clk_i |                                                             core_i/id_stage_i/alu_operand_a_ex_o_reg[4]/D|
|                    clk_i |                    clk_i |                                                            core_i/id_stage_i/alu_operand_a_ex_o_reg[16]/D|
|                    clk_i |                    clk_i |                                                            core_i/id_stage_i/alu_operand_c_ex_o_reg[13]/D|
|                    clk_i |                    clk_i |                                                             core_i/id_stage_i/alu_operand_a_ex_o_reg[5]/D|
|                    clk_i |                    clk_i |                                                             core_i/id_stage_i/alu_operand_b_ex_o_reg[5]/D|
|                    clk_i |                    clk_i |                                                           core_i/id_stage_i/mult_operand_b_ex_o_reg[13]/D|
|                    clk_i |                    clk_i |                                                           core_i/id_stage_i/mult_operand_a_ex_o_reg[13]/D|
|                    clk_i |                    clk_i |                                                             core_i/id_stage_i/alu_operand_b_ex_o_reg[1]/D|
|                    clk_i |                    clk_i |                                                             core_i/id_stage_i/alu_operand_b_ex_o_reg[7]/D|
|                    clk_i |                    clk_i |                                                             core_i/id_stage_i/alu_operand_a_ex_o_reg[7]/D|
|                    clk_i |                    clk_i |                                                            core_i/id_stage_i/alu_operand_b_ex_o_reg[16]/D|
|                    clk_i |                    clk_i |                                                             core_i/id_stage_i/alu_operand_c_ex_o_reg[5]/D|
|                    clk_i |                    clk_i |                                                             core_i/id_stage_i/alu_operand_a_ex_o_reg[3]/D|
|                    clk_i |                    clk_i |                                                            core_i/id_stage_i/mult_operand_c_ex_o_reg[5]/D|
|                    clk_i |                    clk_i |                                                            core_i/id_stage_i/alu_operand_b_ex_o_reg[13]/D|
|                    clk_i |                    clk_i |                                                             core_i/id_stage_i/alu_operand_b_ex_o_reg[4]/D|
|                    clk_i |                    clk_i |                                                            core_i/id_stage_i/mult_operand_a_ex_o_reg[1]/D|
|                    clk_i |                    clk_i |                                                            core_i/id_stage_i/alu_operand_a_ex_o_reg[13]/D|
